States,city,citygroup,Source
Uttar Pradesh,Asharfa Bad,Lucknow,JC - Cohort service
Uttar Pradesh,Ashraf Pur,Lucknow,JC - Cohort service
Uttar Pradesh,Bakhira,Lucknow,JC - Cohort service
Uttar Pradesh,Barabanki,Lucknow,JC - Cohort service
Uttar Pradesh,Baragaon,Lucknow,JC - Cohort service
Uttar Pradesh,Gauri Ibrahim,Lucknow,JC - Cohort service
Uttar Pradesh,Lucknow,Lucknow,JC - Cohort service
Uttar Pradesh,Maigal Ganj,Lucknow,JC - Cohort service
Uttar Pradesh,Malihabad,Lucknow,JC - Cohort service
Uttar Pradesh,Sandila,Lucknow,JC - Cohort service
Uttar Pradesh,Sarauli,Lucknow,JC - Cohort service
Punjab,Jagraon,Ludhiana,JC - Cohort service
Punjab,Jassowal,Ludhiana,JC - Cohort service
Punjab,Khanna,Ludhiana,JC - Cohort service
Punjab,Ludhiana,Ludhiana,JC - Cohort service
Punjab,Machhiwara,Ludhiana,JC - Cohort service
Punjab,Samrala,Ludhiana,JC - Cohort service
Punjab,Sangrur,Ludhiana,Quantum
Tamil Nadu,Madurai,Madurai,JC - Cohort service
Tamil Nadu,Periyakulam,Madurai,Quantum
Tamil Nadu,Tallakulam,Madurai,Quantum
Maharashtra,Colaba,Mumbai,JC - Cohort service
Maharashtra,Juhu,Mumbai,JC - Cohort service
Maharashtra,Kurla,Mumbai,JC - Cohort service
Maharashtra,Sewri,Mumbai,JC - Cohort service
Maharashtra,Sion,Mumbai,JC - Cohort service
Maharashtra,Trombay,Mumbai,JC - Cohort service
Maharashtra,Bandra West,Mumbai,JC - Cohort service
Maharashtra,Belapur,Mumbai,JC - Cohort service
Maharashtra,Bhiwadi,Mumbai,JC - Cohort service
Maharashtra,Bhiwandi,Mumbai,JC - Cohort service
Maharashtra,Boisar,Mumbai,JC - Cohort service
Maharashtra,Dharavi,Mumbai,JC - Cohort service
Maharashtra,Ghansoli,Mumbai,JC - Cohort service
Maharashtra,Goregaon,Mumbai,JC - Cohort service
Maharashtra,Kalyan City,Mumbai,JC - Cohort service
Maharashtra,Madh,Mumbai,JC - Cohort service
Maharashtra,Mahim,Mumbai,JC - Cohort service
Maharashtra,Malad,Mumbai,JC - Cohort service
Maharashtra,Mumbai,Mumbai,JC - Cohort service
Maharashtra,Navi Mumbai,Mumbai,JC - Cohort service
Maharashtra,Neral,Mumbai,JC - Cohort service
Maharashtra,Panvel,Mumbai,JC - Cohort service
Maharashtra,Parel,Mumbai,JC - Cohort service
Maharashtra,Sanpada,Mumbai,JC - Cohort service
Maharashtra,Tardeo,Mumbai,JC - Cohort service
Maharashtra,Thane,Mumbai,JC - Cohort service
Maharashtra,Vashi,Mumbai,JC - Cohort service
Maharashtra,Vikhroli,Mumbai,JC - Cohort service
Maharashtra,Virar,Mumbai,JC - Cohort service
Maharashtra,Wadala,Mumbai,JC - Cohort service
Maharashtra,Worli,Mumbai,JC - Cohort service
Maharashtra,Andheri,Mumbai,JC - Cohort service
Maharashtra,Thana,Mumbai,JC - Cohort service
Maharashtra,Mumbai Suburban,Mumbai,JC - Cohort service
